"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.730126450534888,1.62126481649114e-06,0.0759115497275917,0.0026190570179492,0.162555175374943,0.000506170176609888,0.0282749090407665,1.63949307691894e-06,1.62709881354104e-06,1.80027054453086e-06
0.0128061126457923,0.000170798704868317,0.168515791201082,0.0262729842269902,0.00265286338274674,0.000652882202894636,0.788828468206777,5.01776297114846e-05,2.86351318491686e-05,2.12866672890529e-05
0.061661918218583,0.00208156187006926,0.21177341234952,0.0150348736141431,0.0441089915255532,0.00589530821929253,0.658398732032618,0.000786973490600906,4.8746152355171e-05,0.00020948252726483
0.00935536394869628,0.000510225170632553,0.426637230985438,0.27545166947998,0.270036831117063,0.00460569735361632,0.0129688188342421,0.000210358991264391,0.000106342155705018,0.000117461963361828
0.0676574397525631,0.121164554344088,0.153248358688627,0.210175834758545,0.302096976203947,0.00785687260199857,0.00540124298643089,0.122747669086,0.00111046854609923,0.00854058303170052
0.0615242271864487,0.402150402651596,0.0245926270577142,0.0700244088405851,0.0334983644377448,0.00958683057343684,0.0365555158050261,0.27330923353487,0.00121892378407897,0.0875394661284993
0.00766566460766987,0.00908730994883907,0.00339255839922207,0.00520077175687157,0.004753950385114,0.00512920464884545,0.00602124408199691,0.268606869167873,0.342300886337769,0.347841540665799
0.071267789927597,0.0533122589218313,0.0439046975220691,0.0867393771143376,0.0955598306455914,0.145639897493376,0.0633924026245578,0.0639694256342975,0.32856930122174,0.0476450188946027
0.232127420661725,0.0125833503324034,0.0181614883891382,0.042488740073192,0.0462831500268459,0.588750983825889,0.0476350531644374,0.00322874471711362,0.00505864533716971,0.00368242347208518
0.134707281729676,0.00410724033140901,0.00518937072094765,0.0528484083509898,0.0145378837615822,0.71344433258618,0.0717308459393772,0.00156477273799129,0.000566120931866785,0.0013037429099795
