"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.130530817904098,0.000924998894685261,0.653168014313675,0.00482669589292984,0.000273144579797912,0.000207463648412607,5.27771408912999e-05,0.000155424843477484,0.00317732974668887,0.206683333035344
0.155895936478092,0.00117914967835409,0.618793030691778,0.00651674452259833,0.000542115997408246,0.000194515802891286,0.000387516331320161,0.000145891488807066,0.00525175881961967,0.211093340189131
0.210972804460387,0.00188018196499616,0.439909158755286,0.00497254271202555,0.000881389589088146,0.000401099411708999,0.0102729410120604,0.00124035653121285,0.0678064168094083,0.261663108753826
0.30898398055926,0.00594905304616663,0.178275790218353,0.00564204682390335,0.00255165384855994,0.00317859653618642,0.0620219209476221,0.00256309948762574,0.158205598607977,0.272628259924347
0.133370302663343,0.00459669349217369,0.00846197024931107,0.015669748945181,0.00627473732422289,0.00258003901243703,0.22999168629153,0.00588684492107206,0.286423800715305,0.306744176385424
0.0755685902161773,0.0631099308605845,0.00935627228043457,0.0782314450183298,0.0143862547834756,0.00800358916234661,0.275208094951369,0.0112443524939031,0.264335985783714,0.200555484449666
0.0616549021702106,0.312905898004276,0.00656910366767091,0.108254446021192,0.0164758048049477,0.109100551310879,0.213553184319062,0.0157927869330249,0.12659954056132,0.0290937822074156
0.0473192115585804,0.0658014976614649,0.00712915830295662,0.246692451392972,0.166732412821397,0.321510860132626,0.0175138976412325,0.0145522907613077,0.0990316837395271,0.0137165359879369
0.0435454122924266,0.0175243959539552,0.00494830769216046,0.176235171917975,0.29729828560186,0.137634537824269,0.0174699446616325,0.264337235828427,0.0273835796862515,0.013623128541043
0.029952433115548,0.00978843703841052,0.00204568343656236,0.191751027137248,0.344324313477007,0.00332787640552464,0.0287245475217599,0.371153510624504,0.0110818168988349,0.00785035434460093
